Sloeret_SkibID,Skib_Nationalitet,Fangst,Redskab,Art,Fiske_Zone,Afs_Havn,Afsejling_Datomedtid,Ankomst_Datomedtid,Fng_Um_Eng,Fng_Um_Egenskab
JMT0S:F4,DNK,2,GTR,TOR,EEC,22007,1/8/21 6:10,1/8/21 16:08,LSC,Legally sized catch
JMT0S:F7,DNK,242,TBB,HRJ,EEC,20001,1/1/21 19:20,1/4/21 8:22,LSC,Legally sized catch
JMT1S1F.,DNK,500,LL,TOR,EEC,27015,1/14/21 14:00,1/15/21 6:00,LSC,Legally sized catch
JMT1S2F6,DNK,2,GN,STB,EEC,22007,1/28/21 7:45,1/28/21 16:00,LSC,Legally sized catch
JMT1S5F5,DNK,714,GNS,LSJ,EEC,22007,1/2/21 20:10,1/3/21 23:28,LSC,Legally sized catch
JMT1S5F7,DNK,100,OTM,HMK,EEC,20001,1/1/21 20:45,1/10/21 17:15,LSC,Legally sized catch
JMT1S6F1,DNK,1,UNK,YYY,EEC,22007,1/7/21 15:00,1/7/21 17:30,AMS,Above maximum size
JMT2S2F3,DNK,914,OTB,RSP,EEC,9040,1/7/21 6:00,1/7/21 18:00,LSC,Legally sized catch
JMT2S3F1,DNK,500,SDN,RSP,EEC,6055,1/2/21 2:00,1/3/21 21:00,LSC,Legally sized catch
"JMT2S5F/,DNK,""40,000"",OTM,SPE,EEC,23001,1/2/21 17:00,1/11/21 21:30,LSC,Legally sized catch"
"JMT2S9F4,DNK,""1,935"",GTR,TOR,EEC,23001,1/1/21 18:45,1/3/21 8:05,LSC,Legally sized catch"
"JMT2S:F/,DNK,""5,000"",BMS,BMX,EEC,25001,1/4/21 5:45,1/4/21 7:55,LSC,Legally sized catch"
"JMT3S1F.,DNK,""6,000"",BMS,HMX,EEC,25001,1/9/21 5:45,1/9/21 15:15,LSC,Legally sized catch"
JMT3S2F.,DNK,60,TBB,TOR,EEC,23001,1/3/21 11:45,1/6/21 0:05,LSC,Legally sized catch
JMT3S2F/,DNK,5,TBN,RSP,EEC,28001,1/9/21 6:30,1/9/21 18:00,LSC,Legally sized catch
JMT3S2F6,DNK,50,GTR,TAK,EEC,22007,1/2/21 16:00,1/7/21 3:00,LSC,Legally sized catch
JMT3S3F.,DNK,200,OTM,ISG,EEC,23001,1/1/21 19:00,1/5/21 14:30,LSC,Legally sized catch
JMT3S5F7,DNK,14,OTB,LNG,EEC,23001,1/1/21 21:55,1/11/21 2:00,LSC,Legally sized catch
JMT4S2F.,DNK,350,TBB,RSP,EEC,23001,1/2/21 14:00,1/4/21 22:40,LSC,Legally sized catch
JMT4S3F3,DNK,7,GN,PGH,EEC,23001,1/2/21 14:00,1/4/21 1:00,LSC,Legally sized catch
JMT4S5F7,DNK,20,OTB,SKI,EEC,27015,1/1/21 20:51,1/10/21 22:00,LSC,Legally sized catch
JMT4S6F2,DNK,233,OTB,TOR,EEC,27015,12/30/20 4:15,1/1/21 13:40,LSC,Legally sized catch
JMT5S6F5,DNK,120,OTT,ISG,EEC,23001,1/1/21 8:15,1/4/21 1:00,LSC,Legally sized catch
JMT6S3F.,DNK,70,OTB,HAT,EEC,23001,1/1/21 17:00,1/4/21 23:20,LSC,Legally sized catch
JMT6S6F0,DNK,1,UNK,YYY,EEC,23001,1/11/21 16:30,1/12/21 2:45,AMS,Above maximum size
"JMT7S4F1,DNK,""5,500"",DRB,HMX,EEC,25028,1/4/21 4:35,1/4/21 14:30,LSC,Legally sized catch"
"JMT7S4F3,DNK,""7,000"",BMS,HMX,EEC,25014,1/6/21 4:15,1/6/21 15:00,LSC,Legally sized catch"
